RUNNER WEIGHT,MODEL,CUSOMER,MOULD NAME,RM NAME,RAW MATERIAL GRADE,P.WEIGHT,SHORT WEIGHT,CYCLE TIME,UPH,NO OF CAVITY
0.0064,AI3,TOPRUN,AI3_84515-K6000_ROD-GLOVE BOX (LHD) LH_NNB,PC+ABS,NS5000C,0.0157,0.0378,36,100,2
0.0064,AI3,TOPRUN,AI3_84515-K6900_ROD GLOVE BOX (RHD) LH,PC+ABS,NS5000C,0.0157,0.0378,36,100,2
0.0097,AI3,TOPRUN,AI3_84544-K6000_KNOB HOUSING LHD_NNB,PA66,M40 HSBK 101,0.015,0.0397,36,100,2
0.023,AI3,TOPRUN,AI3_84544-K6900_KNOB HOUSING RHD_NNB,PA66,M40 HSBK 101,0.015,0.083,45,80,4
0.005,AI3,TOPRUN,AI3_84545-K600_KNOB ROTOR LHD,POK,M330F (MS941037YL1),0.0025,0.01,36,100,2
0.0157,AI3,TOPRUN,AI3_84545-K6900_KNOB ROTOR RHD,POK,M330F (MS941037YL1),0.0025,0.0207,40,90,2
0.006,SU2I FL,TOPRUN,COVER INSERT C/PAD _ LH,PP,MT42HS,0.0127,0.0314,45,80,2
0.006,SU2I FL,TOPRUN,COVER INSERT C/PAD _ RH,PP,MT42HS,0.0127,0.0314,45,80,2
0.005,PS7I FL,TOPRUN,MTG RR CAP NNB,PP,HP310 NNB,0.011,0.027,36,100,2
0.005,PS7I FL,TOPRUN,MTG RR CAP WDN,PP,HP310 WDN,0.011,0.027,36,100,2
0.005,PS7I FL,TOPRUN,MTG RR CAP YGN,PP,HP310 YGN,0.011,0.027,36,100,2
0.003,SU2I EV,TOPRUN,SHROUD STRG COLUMN UPR WDN,PP,K2MT42HS WDN,0.1038,0.1068,50,72,1
0.003,SU2I EV,TOPRUN,SHROUD STRG COLUMN UPR NNB,PP,K2MT42HS NNB,0.1038,0.1068,50,72,1
0.0076,SU2I EV,TOPRUN,PLATE SHROUD UPR,PP-TD5,MT61HS,0.0155,0.0385,40,90,2
0.006,SU2I EV,TOPRUN,"ACTUATOR COVER-ACTIVE AIR, LH",PP GF30,LE1G30BL,0.0367,0.0427,45,80,1
0.006,SU2I EV,TOPRUN,"ACTUATOR COVER-ACTIVE AIR, RH",PP GF30,LE1G30BL,0.0367,0.0427,45,80,1
0.009,SU2I EV,TOPRUN,BAR-ACTIVE AIR FLAP,PA66 GF30%,KDG1030BK,0.0217,0.0523,40,90,2
0.032,BN7I,TOPRUN,COVER FR SEAT SHLD OTR RH,PP,HP310 NNB,0.0456,0.1232,50,72,2
0.0036,PS7I FL,TOPRUN,CUP HOLDER WDN,PC+ABS,HP-1000C WDN,0.04,0.0436,50,72,1
0.0036,PS7I FL,TOPRUN,CUP HOLDER NNB,PC+ABS,HP-1000C NNB,0.04,0.0436,50,72,1
0.0036,PS8I FL,TOPRUN,CUP HOLDER YGN,PC+ABS,HP-1001C YGN,0.04,0.0436,50,72,1
0.024,PS7I FL,TOPRUN,PLATE 2ND SEAT CUSHION EXTN,PA6,LS620QXI,0.187,0.398,50,72,2
0.0544,,CUBIC,"Busbar holder ,half,S20000_0078-0003",PC,LEXON 940,0.2165,0.4874,90,40,2
0.0135,,CUBIC,"Busbar holder ,3P,half,S20000_0078-0103",PC,LEXON 940,0.17035,0.1839,70,51,1
0.009,,CUBIC,Holder kobber,PC,LEXON 500R,0.1105,0.23,65,55,2
0.0023,,CUBIC,Insulating plate_0641-0001,PC,LEXON 940,0.0067,0.0156,40,90,2
0.0023,,CUBIC,"Insulating plate,Cu10*10/20/30_0641-0001",PC,LEXON 940,0.0138,0.03,40,90,2
0.002,,CUBIC,Covering for barrier joint_1056-0000,PS,RAL7035PS,0.0011,0.0064,36,100,4
0.003,,CUBIC,Slide rail for MD_1095-0001,PA66,PA66 GF30,0.026,0.029,50,72,1
0.003,,CUBIC,Slide rail for MD_1095-0002,PA66,PA66 GF30,0.032,0.035,50,72,1
0.0026,,CUBIC,Plug kappe_1097-0000,PC,LEXON 940,0.0134,0.0294,40,90,2
0.0033,,CUBIC,"Blind piece 10*100,S7000_1099-0000",PC,LEXON 940,0.0084,0.0201,40,90,2
0.0035,,CUBIC,"Spacing piece no.1 cu>10*30 busbar holder,S2000_0558-0001",PC,LEXON 940,0.017,0.0375,40,90,2
0.0033,,CUBIC,"Spacing piece no.2 cu>10*30 busbar holder,S2000_0558-0002",PC,LEXON 940,0.0125,0.0283,40,90,2
0.0033,,CUBIC,"Spacing piece no.3 cu>10*30 busbar holder,S2000_0558-0003",PC,LEXON 940,0.0071,0.0175,40,90,2
0.0033,,CUBIC,Covering Plug,PA66,KN333HI5,0.0098,0.023,40,90,2
0.0227,SP2I KY,VICTORA,ARM ACCEL LHD_SP2I,PA6+GF40,B3WG8 BK20560,0.1368,0.2962,65,55,2
0.03,SP2I KY,VICTORA,MEMBER ACCEL LHD_SP2I,PA6+GF40,B3WG8 BK20560,0.144,0.318,75,48,2
0.0061,SP2I KY,VICTORA,SPRING CARRIER LHD_SP2I,PA6+GF40,B3WG8 BK20560,0.0029,0.0176,36,100,4
0.0059,SP2I KY,VICTORA,SPRING CARRIER RHD_SP2I,PA6+GF40,B3WG8 BK20560,0.0039,0.0215,36,100,4
